"country","year","cases","population"
Venezuela,2015,0.164594,31108083
Venezuela,2014,0.438731,30693827
Venezuela,2013,0.302808,30276045
Venezuela,2012,0.219491,29854238
Venezuela,2011,0.230250,29427631
Venezuela,2010,0.535519,28995745
Venezuela,2009,0.303442,28558607
Venezuela,2008,0.300962,28116716
Venezuela,2007,0.293481,27670659
Venezuela,2006,0.182170,27221228
Venezuela,2005,0.198192,26769115
Venezuela,2004,0.192212,26314483
Venezuela,2003,0.194935,25857553
Thailand,2015,0.198875,67959359
Thailand,2014,0.160596,67725979
Thailand,2013,0.331769,67451422
Thailand,2012,0.170453,67164130
Thailand,2011,0.135942,66902958
Thailand,2010,0.199635,66692024
Thailand,2009,0.123058,66548197
Thailand,2008,0.119438,66453255
Singapore,2015,0.109969,5603740.0
Singapore,2014,0.128154,5506586.0
Singapore,2013,0.190019,5405009.0
Singapore,2012,0.114755,5299524.0
Singapore,2011,0.108404,5190666.0
Singapore,2010,0.106577,5078961.0
Singapore,2009,0.104673,4965105.0
Singapore,2008,0.120154,4849641.0
Singapore,2007,0.184288,4732785.0
Singapore,2006,0.125453,4614637.0
Singapore,2005,0.273462,4495531.0
Singapore,2004,0.160885,4375230.0
Singapore,2003,0.131808,4254553.0
Singapore,2002,0.059000,4136102.0
Philippines,2015,0.070094,100699395
Philippines,2014,0.078808,99138690
Philippines,2013,0.133231,97571676
Philippines,2012,0.166283,96017322
Philippines,2011,0.190500,94501233
Philippines,2010,0.278173,93038902
Philippines,2009,0.136115,91641881
Philippines,2008,0.107885,90297115
Philippines,2007,0.134558,88965508
Philippines,2006,0.138642,87592899
Philippines,2005,0.124769,86141373
Philippines,2004,0.087885,84596249
Philippines,2003,0.089050,82971734
Mexico,2015,0.150844,127017224
Mexico,2014,0.193404,125385833
Mexico,2013,0.228500,123740109
Mexico,2012,0.153302,122070963
Mexico,2011,0.088846,120365271
Mexico,2010,0.150923,118617542
Mexico,2009,0.273615,116815612
Mexico,2008,0.114346,114972821
Mexico,2007,0.147462,113139374
Mexico,2006,0.091283,111382857
Mexico,2005,0.090462,109747906
Mexico,2004,0.073692,108257822
Mexico,2003,0.086549,106888418
Indonesia,2015,0.107844,257563815
Indonesia,2014,0.092212,254454778
Indonesia,2013,0.095481,251268276
Indonesia,2012,0.094491,248037853
Indonesia,2011,0.099481,244808254
Indonesia,2010,0.139135,241613126
Indonesia,2009,0.177462,238465165
Indonesia,2008,0.205865,235360765
Indonesia,2007,0.287962,232296830
Indonesia,2006,0.203906,229263980
Indonesia,2005,0.176519,226254703
Indonesia,2004,0.160692,223268606
Indonesia,2003,0.060519,220307809
Indonesia,2002,0.101000,217369087
India,2015,0.055688,1311050527
India,2014,0.096596,1295291543
India,2013,0.161731,1279498874
India,2012,0.158509,1263589639
India,2011,0.060827,1247446011
India,2010,0.180654,1230984504
India,2009,0.087481,1214182182
India,2008,0.085596,1197070109
India,2007,0.088288,1179685631
India,2006,0.165925,1162088305
India,2005,0.109058,1144326293
India,2004,0.071962,1126419321
India,2003,0.170308,1108369577
India,2002,0.062000,1090189358
Brazil,2015,0.365781,207847528
Brazil,2014,0.131115,206077898
Brazil,2013,0.159808,204259377
Brazil,2012,0.104415,202401584
Brazil,2011,0.169365,200517584
Brazil,2010,0.240846,198614208
Brazil,2009,0.157904,196701298
Brazil,2008,0.185635,194769696
Brazil,2007,0.152750,192784521
Brazil,2006,0.087698,190698241
Brazil,2005,0.051692,188479240
Brazil,2004,0.045769,186116363
Brazil,2003,0.083538,183627339
Brazil,2002,0.073000,181045592
Bolivia,2015,0.013344,10724705
Bolivia,2014,0.017500,10561887
Bolivia,2013,0.010846,10399931
Bolivia,2012,0.028547,10238762
Bolivia,2011,0.041788,10078238
Bolivia,2010,0.025673,9918245.0
Bolivia,2009,0.199269,9758799.0
Bolivia,2008,0.028712,9599916.0
Bolivia,2007,0.050173,9441482.0
Bolivia,2006,0.020151,9283345.0
Bolivia,2005,0.028558,9125405.0
Bolivia,2004,0.028173,8967740.0
Bolivia,2003,0.075865,8810420.0
Bolivia,2002,0.101000,8653343.0
Argentina,2015,0.066188,43416755
Argentina,2014,0.053212,42980026
Argentina,2013,0.081981,42538304
Argentina,2012,0.039283,42095224
Argentina,2011,0.061269,41655616
Argentina,2010,0.127327,41222875
Argentina,2009,0.321904,40798641
Argentina,2008,0.028115,40381860
Argentina,2007,0.107096,39969903
Argentina,2006,0.019000,39558750
Argentina,2005,0.019904,39145491
Argentina,2004,0.029481,38728778
Argentina,2003,0.030370,38309475
